Date,Value
2007.09.28,37.70000000
2007.09.29,63.46500000
2007.09.30,89.23000000
2007.10.01,114.99500000
2007.10.02,156.85725000
2007.10.03,165.31518750
2007.10.04,199.92014810
2007.10.05,252.80778870
2007.10.06,250.02608663
2007.10.07,247.24438457
2007.10.08,244.46268250
2007.10.09,274.05530320
2007.10.10,272.28671750
2007.10.11,258.61314300
2007.10.12,274.37917120
2007.10.13,265.26519060
2007.10.14,256.15121000
2007.10.15,247.03722940
2007.10.16,225.82468300
2007.10.17,232.75883250
2007.10.18,234.47373610
2007.10.19,192.26761000
2007.10.20,198.45175137
2007.10.21,204.63589273
2007.10.22,210.82003410
2007.10.23,231.27825660
2007.10.24,218.66364550
2007.10.25,218.08483480
2007.10.26,243.54952750
2007.10.27,243.30104903
2007.10.28,243.05257057
2007.10.29,242.80409210
2007.10.30,220.70272440
2007.10.31,242.60254140
2007.11.01,191.56387220
2007.11.02,189.41799060
2007.11.03,179.62405107
2007.11.04,169.83011153
2007.11.05,160.03617200
2007.11.06,181.06453620
2007.11.07,134.33846490
2007.11.08,141.61598160
2007.11.09,117.88017850
2007.11.10,113.63567430
2007.11.11,109.39117010
2007.11.12,105.14666590
2007.11.13,146.13377940
2007.11.14,128.64709250
2007.11.15,100.35273970
2007.11.16,100.35930440
2007.11.17,88.37724315
2007.11.18,76.39518190
2007.11.19,64.41312065
2007.11.20,72.90706797
2007.11.21,51.00485758
2007.11.22,73.03915050
2007.11.23,95.07344342
2007.11.24,84.17453464
2007.11.25,73.27562587
2007.11.26,62.37671709
2007.11.27,88.10913249
2007.11.28,131.31980200
2007.11.29,114.40832540
2007.11.30,127.12697130
2007.12.01,119.97324043
2007.12.02,112.81950957
2007.12.03,105.66577870
2007.12.04,83.33813012
2007.12.05,112.08129990
2007.12.06,140.04630360
2007.12.07,129.60615030
2007.12.08,131.93136300
2007.12.09,134.25657570
2007.12.10,136.58178840
2007.12.11,84.76305004
2007.12.12,90.13421350
2007.12.13,73.27588720
2007.12.14,36.84563877
2007.12.15,25.88494190
2007.12.16,14.92424504
2007.12.17,3.96354817
2007.12.18,30.67954297
2007.12.19,31.71832081
2007.12.20,48.34788425
2007.12.21,81.57442158
2007.12.22,88.79136069
2007.12.23,96.00829979
2007.12.24,103.22523890
2007.12.25,97.64790019
2007.12.26,92.07056148
2007.12.27,47.57295950
2007.12.28,46.03964501
2007.12.29,41.12591764
2007.12.30,36.21219026
2007.12.31,31.29846289
2008.01.01,20.19336138
2008.01.02,9.08825987
2008.01.03,0.30309498
2008.01.04,-34.25973647
2008.01.05,-29.96971054
2008.01.06,-25.67968461
2008.01.07,-21.38965868
2008.01.08,-41.72879387
2008.01.09,-18.36011050
2008.01.10,4.71191434
2008.01.11,-18.28506399
2008.01.12,-10.35872771
2008.01.13,-2.43239143
2008.01.14,5.49394485
2008.01.15,-26.15247231
2008.01.16,-16.02939662
2008.01.17,-46.34401992
2008.01.18,-45.68130275
2008.01.19,-38.92229681
2008.01.20,-32.16329087
2008.01.21,-25.40428493
2008.01.22,-18.64527899
2008.01.23,-11.88627305
2008.01.24,4.16790871
2008.01.25,-3.62660543
2008.01.26,9.02466905
2008.01.27,21.67594352
2008.01.28,34.32721800
2008.01.29,46.70610095
2008.01.30,30.50651537
2008.01.31,59.25333712
2008.02.01,87.58560303
2008.02.02,81.11432281
2008.02.03,74.64304259
2008.02.04,68.17176237
2008.02.05,22.53206979
2008.02.06,5.74747228
2008.02.07,27.66790406
2008.02.08,15.87153370
2008.02.09,19.44978226
2008.02.10,23.02803082
2008.02.11,26.60627938
2008.02.12,41.40145554
2008.02.13,66.24432388
2008.02.14,29.75375469
2008.02.15,19.25554926
2008.02.16,20.36248841
2008.02.17,21.46942757
2008.02.18,22.57636672
2008.02.19,23.68330587
2008.02.20,41.60062124
2008.02.21,9.56192277
2008.02.22,24.67102598
2008.02.23,35.26933535
2008.02.24,45.86764471
2008.02.25,56.46595408
2008.02.26,71.11828784
2008.02.27,55.79044177
2008.02.28,28.45618117
2008.02.29,-15.50689255
2008.03.01,-14.01052374
2008.03.02,-12.51415493
2008.03.03,-11.01778612
2008.03.04,-22.52451119
2008.03.05,-8.50013857
2008.03.06,-46.11679929
2008.03.07,-51.94846021
2008.03.08,-60.05723614
2008.03.09,-68.16601206
2008.03.10,-76.27478799
2008.03.11,-22.39242430
2008.03.12,-32.81104123
2008.03.13,-7.60490349
2008.03.14,-42.91563121
2008.03.15,-49.12432923
2008.03.16,-55.33302724
2008.03.17,-61.54172526
2008.03.18,-8.10932704
2008.03.19,-35.33407993
2008.03.20,-3.18457325
2008.03.21,6.12886452
2008.03.22,15.44230229
2008.03.23,24.75574006
2008.03.24,34.06917783
2008.03.25,49.50078911
2008.03.26,30.24731281
2008.03.27,8.93435401
2008.03.28,-9.78289753
2008.03.29,-2.76767606
2008.03.30,4.24754542
2008.03.31,11.26276689
2008.04.01,51.40049613
2008.04.02,56.96125215
2008.04.03,55.83089229
2008.04.04,50.98528014
2008.04.05,49.93597188
2008.04.06,48.88666362
2008.04.07,47.83735536
2008.04.08,34.25669289
2008.04.09,1.02394302
2008.04.10,16.90482216
2008.04.11,-21.75155028
2008.04.12,-22.73236384
2008.04.13,-23.71317741
2008.04.14,-24.69399097
2008.04.15,-5.18630780
2008.04.16,35.21869285
2008.04.17,25.48887493
2008.04.18,51.39243625
2008.04.19,46.17263050
2008.04.20,40.95282474
2008.04.21,35.73301899
2008.04.22,2.71555213
2008.04.23,4.57204021
2008.04.24,17.63647732
2008.04.25,31.06838866
2008.04.26,31.71136941
2008.04.27,32.35435016
2008.04.28,32.99733091
2008.04.29,14.23158989
2008.04.30,9.76572336
2008.05.01,31.24857886
2008.05.02,27.91017742
2008.05.03,24.47888271
2008.05.04,21.04758801
2008.05.05,17.61629330
2008.05.06,30.52694091
2008.05.07,-4.23709009
2008.05.08,1.61084886
2008.05.09,-6.74721758
2008.05.10,2.91531218
2008.05.11,12.57784194
2008.05.12,22.24037170
2008.05.13,22.56355867
2008.05.14,26.12706574
2008.05.15,44.19322896
2008.05.16,34.71883236
2008.05.17,31.86076461
2008.05.18,29.00269686
2008.05.19,26.14462911
2008.05.20,6.23296219
2008.05.21,-21.87267784
2008.05.22,-11.14363668
2008.05.23,-40.91458830
2008.05.24,-35.70198597
2008.05.25,-30.48938365
2008.05.26,-25.27678132
2008.05.27,-20.06417900
2008.05.28,-9.63675815
2008.05.29,6.17687047
2008.05.30,9.06663858
2008.05.31,0.60844477
2008.06.01,-7.84974905
2008.06.02,-16.30794287
2008.06.03,-22.47167030
2008.06.04,-20.27929890
2008.06.05,18.94657514
2008.06.06,-23.66003543
2008.06.07,-26.53015272
2008.06.08,-29.40027000
2008.06.09,-32.27038729
2008.06.10,-38.42088619
2008.06.11,-66.03745833
2008.06.12,-51.01944021
2008.06.13,-11.72393751
2008.06.14,-7.20517935
2008.06.15,-2.68642119
2008.06.16,1.83233698
2008.06.17,-11.68621002
2008.06.18,-32.03613665
2008.06.19,-16.57514324
2008.06.20,-47.97311816
2008.06.21,-49.47491915
2008.06.22,-50.97672013
2008.06.23,-52.47852112
2008.06.24,-64.11824804
2008.06.25,-31.84962333
2008.06.26,-63.20070108
2008.06.27,-62.78986905
2008.06.28,-61.95146547
2008.06.29,-61.11306190
2008.06.30,-60.27465832
2008.07.01,-52.12277985
2008.07.02,-74.34230986
2008.07.03,-74.21829647
2008.07.04,-62.39117354
2008.07.05,-64.53312488
2008.07.06,-66.67507623
2008.07.07,-68.81702757
2008.07.08,-29.16704763
2008.07.09,-46.22047954
2008.07.10,-23.42006142
2008.07.11,-23.35860363
2008.07.12,-26.51882382
2008.07.13,-29.67904400
2008.07.14,-32.83926419
2008.07.15,-39.43103266
2008.07.16,-0.11983953
2008.07.17,24.64182979
2008.07.18,22.23984791
2008.07.19,26.30155000
2008.07.20,30.36325208
2008.07.21,34.42495417
2008.07.22,56.42109524
2008.07.23,61.14569039
2008.07.24,25.02949078
2008.07.25,38.17499267
2008.07.26,29.15783572
2008.07.27,20.14067877
2008.07.28,11.12352182
2008.07.29,41.23889663
2008.07.30,56.68134761
2008.07.31,-62.84876354
2008.08.01,-133.68276480
2008.08.02,-167.49765053
2008.08.03,-201.31253627
2008.08.04,-235.12742200
2008.08.05,-206.13696680
2008.08.06,-232.51944280
2008.08.07,-341.91386250
2008.08.08,-294.83652210
2008.08.09,-290.81141920
2008.08.10,-286.78631630
2008.08.11,-282.76121340
2008.08.12,-350.42301840
2008.08.13,-380.62174660
2008.08.14,-348.68855050
2008.08.15,-353.34222500
2008.08.16,-376.06295190
2008.08.17,-398.78367880
2008.08.18,-421.50440570
2008.08.19,-477.12554810
2008.08.20,-452.24599710
2008.08.21,-455.36275100
2008.08.22,-379.70076190
2008.08.23,-404.62092703
2008.08.24,-429.54109217
2008.08.25,-454.46125730
2008.08.26,-400.70917470
2008.08.27,-318.79759810
2008.08.28,-237.66921220
2008.08.29,-285.76609610
2008.08.30,-283.71459743
2008.08.31,-281.66309875
2008.09.01,-279.61160008
2008.09.02,-277.56010140
2008.09.03,-273.25617550
2008.09.04,-364.01003790
2008.09.05,-342.58454010
2008.09.06,-322.37396563
2008.09.07,-302.16339117
2008.09.08,-281.95281670
2008.09.09,-375.55292920
2008.09.10,-331.10326070
2008.09.11,-320.49327780
2008.09.12,-281.26927610
2008.09.13,-316.68832013
2008.09.14,-352.10736417
2008.09.15,-387.52640820
2008.09.16,-348.68862420
2008.09.17,-435.28887570
2008.09.18,-320.65564630
2008.09.19,-196.84095700
2008.09.20,-221.99236893
2008.09.21,-247.14378087
2008.09.22,-272.29519280
2008.09.23,-307.99708850
2008.09.24,-308.63222390
2008.09.25,-219.93210350
2008.09.26,-239.59384010
2008.09.27,-272.29811193
2008.09.28,-305.00238377
2008.09.29,-337.70665560
2008.09.30,-216.30457960
2008.10.01,-207.47428180
2008.10.02,-283.13700570
2008.10.03,-296.11294960
2008.10.04,-320.51757203
2008.10.05,-344.92219447
2008.10.06,-369.32681690
2008.10.07,-423.77803940
2008.10.08,-428.76494440
2008.10.09,-479.38492350
2008.10.10,-436.41808100
2008.10.11,-374.56183407
2008.10.12,-312.70558713
2008.10.13,-250.84934020
2008.10.14,-214.73382010
2008.10.15,-286.03138140
2008.10.16,-174.86063940
2008.10.17,-134.23535170
2008.10.18,-94.43341915
2008.10.19,-54.63148659
2008.10.20,-14.82955404
2008.10.21,-65.46344925
2008.10.22,-143.72811240
2008.10.23,-143.87575880
2008.10.24,-194.48261780
2008.10.25,-207.51476820
2008.10.26,-220.54691860
2008.10.27,-233.57906900
2008.10.28,-100.58863950
2008.10.29,-38.22887911
2008.10.30,70.42986045
2008.10.31,140.58093350
2008.11.01,142.68968773
2008.11.02,144.79844197
2008.11.03,146.90719620
2008.11.04,213.38161490
2008.11.05,109.05033480
2008.11.06,15.70183865
2008.11.07,82.16036524
2008.11.08,65.46411138
2008.11.09,48.76785751
2008.11.10,32.07160365
2008.11.11,-40.31464553
2008.11.12,-134.00331540
2008.11.13,-23.88711148
2008.11.14,-92.16832160
2008.11.15,-104.20818597
2008.11.16,-116.24805033
2008.11.17,-128.28791470
2008.11.18,-119.77872710
2008.11.19,-202.80447820
2008.11.20,-268.02747290
2008.11.21,-161.40299610
2008.11.22,-113.49601519
2008.11.23,-65.58903428
2008.11.24,-17.68205337
2008.11.25,43.58776290
2008.11.26,149.30551700
2008.11.27,169.82659310
2008.11.28,190.34766920
2008.11.29,151.57743644
2008.11.30,112.80720368
2008.12.01,74.03697092
2008.12.02,157.02113910
2008.12.03,196.58749710
2008.12.04,115.53379580
2008.12.05,178.35521220
2008.12.06,200.26205717
2008.12.07,222.16890213
2008.12.08,244.07574710
2008.12.09,167.14642580
2008.12.10,209.83612390
2008.12.11,111.48663510
2008.12.12,145.39038910
2008.12.13,119.67730833
2008.12.14,93.96422755
2008.12.15,68.25114678
2008.12.16,165.85583890
2008.12.17,164.17857140
2008.12.18,115.82361490
2008.12.19,133.10100900
2008.12.20,109.90323129
2008.12.21,86.70545357
2008.12.22,63.50767586
2008.12.23,24.13783768
2008.12.24,47.20593685
2008.12.25,77.74953443
2008.12.26,108.29313200
2008.12.27,90.33916070
2008.12.28,72.38518941
2008.12.29,54.43121811
2008.12.30,136.20712570
2008.12.31,209.89449100
2009.01.01,236.49610345
2009.01.02,263.09771590
2009.01.03,262.40547217
2009.01.04,261.71322843
2009.01.05,261.02098470
2009.01.06,291.69027450
2009.01.07,164.85406590
2009.01.08,172.33483730
2009.01.09,78.46922260
2009.01.10,48.30340704
2009.01.11,18.13759149
2009.01.12,-12.02822407
2009.01.13,-0.64339985
2009.01.14,-109.10615810
2009.01.15,-73.94628569
2009.01.16,-23.01486332
2009.01.17,-49.52450321
2009.01.18,-76.03414311
2009.01.19,-102.54378300
2009.01.20,-129.05342290
2009.01.21,-25.52112418
2009.01.22,-95.22340317
2009.01.23,-67.04273469
2009.01.24,-51.01617295
2009.01.25,-34.98961121
2009.01.26,-18.96304947
2009.01.27,32.88989664
2009.01.28,121.15971610
2009.01.29,13.12461312
2009.01.30,-54.56102298
2009.01.31,-54.52716089
2009.02.01,-54.49329881
2009.02.02,-54.45943672
2009.02.03,-14.20028329
2009.02.04,-29.35770569
2009.02.05,18.47948669
2009.02.06,102.48788870
2009.02.07,98.74280348
2009.02.08,94.99771826
2009.02.09,91.25263304
2009.02.10,-20.20977374
2009.02.11,-0.40908267
2009.02.12,-4.17744639
2009.02.13,-31.57851014
2009.02.14,-21.15184913
2009.02.15,-10.72518811
2009.02.16,-0.29852710
2009.02.17,-112.50264900
2009.02.18,-147.77465990
2009.02.19,-179.59335600
2009.02.20,-213.40037430
2009.02.21,-235.06304057
2009.02.22,-256.72570683
2009.02.23,-278.38837310
2009.02.24,-138.36117030
2009.02.25,-157.54610600
2009.02.26,-150.11149540
2009.02.27,-163.45434600
2009.02.28,-191.11796780
2009.03.01,-218.78158960
2009.03.02,-246.44521140
2009.03.03,-245.87017540
2009.03.04,-121.04916860
2009.03.05,-204.07196210
2009.03.06,-188.88609060
2009.03.07,-193.92664043
2009.03.08,-198.96719027
2009.03.09,-204.00774010
2009.03.10,-51.26671167
2009.03.11,-18.26679882
2009.03.12,100.88946070
2009.03.13,129.21361520
2009.03.14,129.58730990
2009.03.15,129.96100460
2009.03.16,130.33469930
2009.03.17,203.79155270
2009.03.18,266.27820450
2009.03.19,230.77290090
2009.03.20,137.76200170
2009.03.21,169.80762547
2009.03.22,201.85324923
2009.03.23,233.89887300
2009.03.24,146.22640350
2009.03.25,182.43531010
2009.03.26,242.98174870
2009.03.27,133.88404490
2009.03.28,94.60139259
2009.03.29,55.31874028
2009.03.30,16.03608797
2009.03.31,80.44590435
2009.04.01,138.56406780
2009.04.02,217.66227730
2009.04.03,236.30293500
2009.04.04,207.58835087
2009.04.05,178.87376673
2009.04.06,150.15918260
2009.04.07,48.60547843
2009.04.08,106.88403400
2009.04.09,188.12777880
2009.04.10,184.29596952
2009.04.11,180.46416025
2009.04.12,176.63235098
2009.04.13,172.80054170
2009.04.14,87.33175129
2009.04.15,125.71927670
2009.04.16,175.71201460
2009.04.17,184.02724540
2009.04.18,137.92370744
2009.04.19,91.82016949
2009.04.20,45.71663153
2009.04.21,111.43247350
2009.04.22,93.76235601
2009.04.23,93.13559378
2009.04.24,142.13403410
2009.04.25,115.27836620
2009.04.26,88.42269831
2009.04.27,61.56703041
2009.04.28,51.92440710
2009.04.29,124.52034210
2009.04.30,101.16726490
2009.05.01,105.04454750
2009.05.02,127.29116547
2009.05.03,149.53778343
2009.05.04,171.78440140
2009.05.05,117.53805450
2009.05.06,134.76973760
2009.05.07,55.37897797
2009.05.08,125.42298360
2009.05.09,93.47648690
2009.05.10,61.52999020
2009.05.11,29.58349350
2009.05.12,-13.75718801
2009.05.13,-131.64468480
2009.05.14,-68.08027106
2009.05.15,-111.04229600
2009.05.16,-76.83473594
2009.05.17,-42.62717588
2009.05.18,-8.41961582
2009.05.19,0.66487380
2009.05.20,-15.02121194
2009.05.21,-89.55770919
2009.05.22,-90.33862579
2009.05.23,-67.31762343
2009.05.24,-44.29662108
2009.05.25,-21.27561872
2009.05.26,1.74538364
2009.05.27,-69.43151521
2009.05.28,-29.14060616
2009.05.29,28.15382412
2009.05.30,51.70248037
2009.05.31,75.25113663
2009.06.01,98.79979288
2009.06.02,94.00809721
2009.06.03,8.14115693
2009.06.04,64.08421720
2009.06.05,36.89511264
2009.06.06,18.60139266
2009.06.07,0.30767267
2009.06.08,-17.98604731
2009.06.09,-4.21950884
2009.06.10,-31.22802090
2009.06.11,-17.86415861
2009.06.12,-37.34873555
2009.06.13,-71.15625877
2009.06.14,-104.96378198
2009.06.15,-138.77130520
2009.06.16,-191.09374570
2009.06.17,-191.52396360
2009.06.18,-152.48418000
2009.06.19,-109.59274420
2009.06.20,-140.80269710
2009.06.21,-172.01265000
2009.06.22,-203.22260290
2009.06.23,-188.96001900
2009.06.24,-111.87070970
2009.06.25,-15.84999674
2009.06.26,4.57696286
2009.06.27,11.17435141
2009.06.28,17.77173995
2009.06.29,24.36912850
2009.06.30,-7.48041552
2009.07.01,49.37562642
2009.07.02,-47.50933586
