Date,Value
2007.09.28,1037.70000000
2007.09.29,1076.03166667
2007.09.30,1114.36333333
2007.10.01,1152.69500000
2007.10.02,1309.55225000
2007.10.03,1474.86743800
2007.10.04,1674.78758600
2007.10.05,1927.59537400
2007.10.06,2009.08293500
2007.10.07,2090.57049600
2007.10.08,2172.05805700
2007.10.09,2446.11336000
2007.10.10,2718.40007800
2007.10.11,2977.01322100
2007.10.12,3251.39239200
2007.10.13,3333.73813500
2007.10.14,3416.08387800
2007.10.15,3498.42962100
2007.10.16,3724.25430400
2007.10.17,3957.01313700
2007.10.18,4191.48687300
2007.10.19,4383.75448300
2007.10.20,4454.02782767
2007.10.21,4524.30117233
2007.10.22,4594.57451700
2007.10.23,4825.85277400
2007.10.24,5044.51641900
2007.10.25,5262.60125400
2007.10.26,5506.15078100
2007.10.27,5587.08547867
2007.10.28,5668.02017633
2007.10.29,5748.95487400
2007.10.30,5969.65759800
2007.10.31,6212.26013900
2007.11.01,6403.82401100
2007.11.02,6593.24200200
2007.11.03,6646.58739267
2007.11.04,6699.93278333
2007.11.05,6753.27817400
2007.11.06,6934.34271000
2007.11.07,7068.68117500
2007.11.08,7210.29715700
2007.11.09,7328.17733500
2007.11.10,7363.22622367
2007.11.11,7398.27511233
2007.11.12,7433.32400100
2007.11.13,7579.45778100
2007.11.14,7708.10487300
2007.11.15,7808.45761300
2007.11.16,7908.81691700
2007.11.17,7930.28795733
2007.11.18,7951.75899767
2007.11.19,7973.23003800
2007.11.20,8046.13710600
2007.11.21,8097.14196300
2007.11.22,8144.67868500
2007.11.23,8192.21540700
2007.11.24,8213.00764600
2007.11.25,8233.79988500
2007.11.26,8254.59212400
2007.11.27,8342.70125600
2007.11.28,8474.02105800
2007.11.29,8588.42938400
2007.11.30,8715.55635500
2007.12.01,8750.77828133
2007.12.02,8786.00020767
2007.12.03,8821.22213400
2007.12.04,8904.56026400
2007.12.05,9016.64156400
2007.12.06,9156.68786700
2007.12.07,9286.29401800
2007.12.08,9331.82128067
2007.12.09,9377.34854333
2007.12.10,9422.87580600
2007.12.11,9507.63885600
2007.12.12,9597.77307000
2007.12.13,9671.04895700
2007.12.14,9707.89459500
2007.12.15,9709.21577800
2007.12.16,9710.53696100
2007.12.17,9711.85814400
2007.12.18,9742.53768700
2007.12.19,9774.25600700
2007.12.20,9822.60389200
2007.12.21,9904.17831300
2007.12.22,9938.58672533
2007.12.23,9972.99513767
2007.12.24,10007.40355000
2007.12.25,10053.43883000
2007.12.26,10099.47411000
2007.12.27,10147.04707000
2007.12.28,10193.08672000
2007.12.29,10203.51954000
2007.12.30,10213.95236000
2007.12.31,10224.38518000
2008.01.01,10228.92931000
2008.01.02,10233.47344000
2008.01.03,10233.77654000
2008.01.04,10199.51680000
2008.01.05,10192.38691333
2008.01.06,10185.25702667
2008.01.07,10178.12714000
2008.01.08,10136.39835000
2008.01.09,10118.03824000
2008.01.10,10122.75015000
2008.01.11,10104.46509000
2008.01.12,10106.29640333
2008.01.13,10108.12771667
2008.01.14,10109.95903000
2008.01.15,10083.80656000
2008.01.16,10067.77716000
2008.01.17,10021.43314000
2008.01.18,9975.75184000
2008.01.19,9973.37458540
